trajectory_id,particle,phase_pre,phase_post,rel_x_pre_um,rel_y_pre_um,rel_z_pre_um,rel_x_post_um,rel_y_post_um,rel_z_post_um,step_len_um,edep_keV
T000235,Li7,ZnS,ZnS,0.5023,0.218,-0.48011,1.3533,0.849,-1.55087,1.52628,404.221
T000235,Li7,ZnS,ZnS,1.3533,0.849,-1.55087,1.8545,0.5433,-2.37266,1.17331,108.389
T000235,Li7,ZnS,ZnS,1.8545,0.5433,-2.37266,1.8544,0.5411,-2.37281,0.120607,1.10399
T000235,Li7,ZnS,ZnS,1.8544,0.5411,-2.37281,1.8544,0.5411,-2.37281,0,0
T000236,alpha,BN,binder_void,0,0,0,-0.2456,-0.1074,0.23612,0.357223,128.954
T000236,alpha,binder_void,BN,-0.2456,-0.1074,0.23612,-0.267,-0.1164,0.25694,0.0311782,5.42806
T000236,alpha,BN,binder_void,-0.267,-0.1164,0.25694,-0.6927,-0.2941,0.67042,0.619578,246.476
T000236,alpha,binder_void,BN,-0.6927,-0.2941,0.67042,-0.7551,-0.3182,0.73002,0.089554,14.5557
T000236,alpha,BN,binder_void,-0.7551,-0.3182,0.73002,-1.3533,-0.5484,1.3001,0.857975,369.298
T000236,alpha,binder_void,ZnS,-1.3533,-0.5484,1.3001,-1.548,-0.6259,1.48209,0.27761,47.5805
T000236,alpha,ZnS,ZnS,-1.548,-0.6259,1.48209,-3.3899,-1.3903,3.2392621,2.6973,657.708
T000236,alpha,ZnS,ZnS,-3.3899,-1.3903,3.2392621,-3.3899,-1.3903,3.2392621,0,0
T000237,Li7,BN,binder_void,0,0,0,-0.28415,0.18034,-0.05733,0.341502,206.975
T000237,Li7,binder_void,BN,-0.28415,0.18034,-0.05733,-0.44569,0.28033,-0.09521,0.19374,32.4436
T000237,Li7,BN,binder_void,-0.44569,0.28033,-0.09521,-1.21754,0.75271,-0.27185,0.923745,407.461
T000237,Li7,binder_void,BN,-1.21754,0.75271,-0.27185,-1.29656,0.80772,-0.29643,0.0994124,12.2708
T000237,Li7,BN,binder_void,-1.29656,0.80772,-0.29643,-1.86198,1.20468,-0.47596,0.724322,148.315
T000237,Li7,binder_void,BN,-1.86198,1.20468,-0.47596,-1.93782,1.31375,-0.62769,0.207268,10.6455
T000237,Li7,BN,BN,-1.93782,1.31375,-0.62769,-2.04389,1.34183,-0.66589,0.121483,21.5717
T000237,Li7,BN,BN,-2.04389,1.34183,-0.66589,-2.04459,1.34192,-0.66609,0.04543,0.317893
T000237,Li7,BN,BN,-2.04459,1.34192,-0.66609,-2.04459,1.34192,-0.66609,0,0
T000238,alpha,BN,binder_void,0,0,0,0.14266,-0.09053,0.02878,0.171394,65.1842
T000238,alpha,binder_void,BN,0.14266,-0.09053,0.02878,0.88028,-0.56037,0.17864,0.887335,134.371
T000238,alpha,BN,binder_void,0.88028,-0.56037,0.17864,1.56389,-0.99611,0.31648,0.822436,314.079
T000238,alpha,binder_void,BN,1.56389,-0.99611,0.31648,2.25346,-1.46112,0.450953,0.84258,141.377
T000238,alpha,BN,binder_void,2.25346,-1.46112,0.450953,2.89781,-1.89085,0.577591,0.785057,354.68
T000238,alpha,binder_void,BN,2.89781,-1.89085,0.577591,3.241494,-2.1212,0.65217,0.420481,75.5074
T000238,alpha,BN,binder_void,3.241494,-2.1212,0.65217,3.669719,-2.4097,0.739566,0.524167,207.513
T000238,alpha,binder_void,BN,3.669719,-2.4097,0.739566,4.3227165,-2.88551,0.857801,0.818303,102.463
T000238,alpha,BN,BN,4.3227165,-2.88551,0.857801,4.81255,-3.23649,0.944945,0.634898,74.8248
T000238,alpha,BN,BN,4.81255,-3.23649,0.944945,4.81255,-3.23649,0.944945,0,0
T000239,Li7,BN,binder_void,0,0,0,0.31807,-0.22372,-0.52485,0.653622,409.438
T000239,Li7,binder_void,BN,0.31807,-0.22372,-0.52485,0.38958,-0.28276,-0.65605,0.160686,22.1894
T000239,Li7,BN,binder_void,0.38958,-0.28276,-0.65605,0.56759,-0.4317,-0.97913,0.398361,193.272
